epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.749,1.0876,0.53333,1,1.01757,0.00015719,0.00015719,0.00015719
2,75.4571,0.95084,0.76667,1,0.77806,0.000325416,0.000325416,0.000325416
3,112.768,0.75401,0.9,1,0.56978,0.000490247,0.000490247,0.000490247
4,150.085,0.6189,0.93333,1,0.42817,0.000651683,0.000651683,0.000651683
5,187.342,0.54507,0.93333,1,0.35286,0.000809723,0.000809723,0.000809723
6,224.609,0.30551,0.93333,1,0.31383,0.000964368,0.000964368,0.000964368
7,261.659,0.35162,0.93333,1,0.2657,0.00111562,0.00111562,0.00111562
8,298.821,0.40113,0.93333,1,0.23703,0.00126347,0.00126347,0.00126347
9,335.955,0.28663,0.93333,1,0.30158,0.00131582,0.00131582,0.00131582
10,373.33,0.13339,0.83333,1,0.41623,0.00130168,0.00130168,0.00130168
11,410.661,0.32932,0.76667,1,0.63554,0.00128753,0.00128753,0.00128753
12,448.075,0.35405,0.83333,1,0.47957,0.00127338,0.00127338,0.00127338
13,485.51,0.32112,0.86667,1,0.20888,0.00125923,0.00125923,0.00125923
14,522.868,0.16265,0.93333,1,0.20208,0.00124509,0.00124509,0.00124509
15,560.162,0.1596,0.96667,1,0.13042,0.00123094,0.00123094,0.00123094
16,597.222,0.2052,0.93333,1,0.16772,0.00121679,0.00121679,0.00121679
17,634.402,0.33426,0.93333,1,0.22407,0.00120265,0.00120265,0.00120265
18,671.442,0.29304,0.9,1,0.32121,0.0011885,0.0011885,0.0011885
19,708.964,0.26606,0.93333,1,0.2582,0.00117435,0.00117435,0.00117435
20,746.26,0.12637,0.93333,1,0.36197,0.00116021,0.00116021,0.00116021
21,783.503,0.33433,0.93333,1,0.32876,0.00114606,0.00114606,0.00114606
22,820.773,0.37493,0.93333,1,0.26685,0.00113191,0.00113191,0.00113191
23,858.204,0.17556,0.86667,1,0.37261,0.00111776,0.00111776,0.00111776
24,895.399,0.32599,0.86667,1,0.43583,0.00110362,0.00110362,0.00110362
25,932.758,0.34174,0.86667,1,0.47092,0.00108947,0.00108947,0.00108947
26,969.916,0.18177,0.8,1,0.49077,0.00107532,0.00107532,0.00107532
27,1007.25,0.11632,0.73333,1,0.51703,0.00106118,0.00106118,0.00106118
28,1044.58,0.22602,0.76667,1,0.54835,0.00104703,0.00104703,0.00104703
29,1081.99,0.08734,0.76667,1,0.54263,0.00103288,0.00103288,0.00103288
30,1119.41,0.16046,0.83333,1,0.52714,0.00101873,0.00101873,0.00101873
31,1156.66,0.10623,0.83333,1,0.4589,0.00100459,0.00100459,0.00100459
32,1195.16,0.17703,0.8,1,0.503,0.00099044,0.00099044,0.00099044
33,1233.12,0.09934,0.83333,1,0.40116,0.000976293,0.000976293,0.000976293
34,1270.49,0.20474,0.86667,1,0.39892,0.000962146,0.000962146,0.000962146
35,1307.74,0.19017,0.9,1,0.25953,0.000947999,0.000947999,0.000947999
